# Dénomination en français;Designation in English;Denominación en español;Dénomination abrégée en français;Short designation in English;Denominación abreviada en español;Administrative Region;comment;Date of Entry;Language
Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;Costa Rica;A;CTR;13.09.1932;S
Côte d'Ivoire (République de);Côte d'Ivoire (Republic of);Côte d'Ivoire (República de);Côte d'Ivoire;Côte d'Ivoire;Côte d'Ivoire;D;CTI;23.12.1960;F
Croatie (République de);Croatia (Republic of);Croacia (República de);Croatie;Croatia;Croacia;B;HRV;03.06.1992;E
Cuba;Cuba;Cuba;Cuba;Cuba;Cuba;A;CUB;16.01.1918;S
Chypre (République de);Cyprus (Republic of);Chipre (República de);Chypre;Cyprus;Chipre;B;CYP;24.04.1961;E
République tchèque;Czech Republic;República Checa;Rép. tchèque;Czech Rep.;Rep. Checa;C;CZE;01.01.1993;E
République populaire démocratique de Corée;Democratic People's Republic of Korea;República Popular Democrática de Corea;Rép. pop. dém. de Corée;Dem. People's Rep. of Korea;Rep. Pop. Dem. de Corea;E;KRE;24.09.1975;E
République démocratique du Congo;Democratic Republic of the Congo;República Democrática del Congo;Rép. dém. du Congo;Dem. Rep. of the Congo;Rep. Dem. del Congo;D;COD;06.12.1961;F
Danemark;Denmark;Dinamarca;Danemark;Denmark;Dinamarca;B;DNK;01.01.1866;E
Djibouti (République de);Djibouti (Republic of);Djibouti (República de);Djibouti;Djibouti;Djibouti;D;DJI;22.11.1977;F
Dominique (Commonwealth de la);Dominica (Commonwealth of);Dominica (Commonwealth de);Dominique;Dominica;Dominica;A;DMA;28.10.1996;E
Dominicaine (République);Dominican Republic;Dominicana (República);Dominicaine (Rép.);Dominican Rep.;Dominicana (Rep.);A;DOM;11.07.1926;S
Equateur;Ecuador;Ecuador;Equateur;Ecuador;Ecuador;A;EQA;17.04.1920;S
Egypte (République arabe d');Egypt (Arab Republic of);Egipto (República Árabe de);Egypte;Egypt;Egipto;D;EGY;09.12.1876;E
El Salvador (République d');El Salvador (Republic of);El Salvador (República de);El Salvador;El Salvador;El Salvador;A;SLV;12.10.1927;S
Guinée équatoriale (République de);Equatorial Guinea (Republic of);Guinea Ecuatorial (República de);Guinée équatoriale;Equatorial Guinea;Guinea Ecuatorial;D;GNE;02.07.1970;S
Erythrée;Eritrea;Eritrea;Erythrée;Eritrea;Eritrea;D;ERI;06.08.1993;E
Estonie (République d');Estonia (Republic of);Estonia (República de);Estonie;Estonia;Estonia;B;EST;22.04.1992;E
Ethiopie (République fédérale démocratique d');Ethiopia (Federal Democratic Republic of);Etiopía (República Democrática Federal de);Ethiopie;Ethiopia;Etiopía;D;ETH;20.02.1932;E
Fidji (République de);Fiji (Republic of);Fiji (República de);Fidji;Fiji;Fiji;E;FJI;05.05.1971;E
Finlande;Finland;Finlandia;Finlande;Finland;Finlandia;B;FIN;01.09.1920;E
France;France;Francia;France;France;Francia;B;F;01.01.1866;F
Gabonaise (République);Gabonese Republic;Gabonesa (República);Gabon;Gabon;Gabón;D;GAB;28.12.1960;F
Gambie (République de);Gambia (Republic of the);Gambia (República de);Gambie;Gambia;Gambia;D;GMB;27.05.1974;E
Géorgie;Georgia;Georgia;Géorgie;Georgia;Georgia;C;GEO;07.01.1993;E
Allemagne (République fédérale d');Germany (Federal Republic of);Alemania (República Federal de);Allemagne;Germany;Alemania;B;D;01.01.1866;E
Ghana;Ghana;Ghana;Ghana;Ghana;Ghana;D;GHA;17.05.1957;E
Grèce;Greece;Grecia;Grèce;Greece;Grecia;B;GRC;01.01.1866;E
Grenade;Grenada;Granada;Grenade;Grenada;Granada;A;GRD;17.11.1981;E
Guatemala (République du);Guatemala (Republic of);Guatemala (República de);Guatemala;Guatemala;Guatemala;A;GTM;10.07.1914;S
Guinée (République de);Guinea (Republic of);Guinea (República de);Guinée;Guinea;Guinea;D;GUI;09.03.1959;F
Guinée-Bissau (République de);Guinea-Bissau (Republic of);Guinea-Bissau (República de);Guinée-Bissau;Guinea-Bissau;Guinea-Bissau;D;GNB;15.01.1976;F
Guyana;Guyana;Guyana;Guyana;Guyana;Guyana;A;GUY;08.03.1967;E
Haïti (République d');Haiti (Republic of);Haití (República de);Haïti;Haiti;Haití;A;HTI;10.10.1927;F
Honduras (République du);Honduras (Republic of);Honduras (República de);Honduras;Honduras;Honduras;A;HND;27.10.1925;S
Hongrie (République de);Hungary (Republic of);Hungría (República de);Hongrie;Hungary;Hungría;B;HNG;01.01.1866;E
Islande;Iceland;Islandia;Islande;Iceland;Islandia;B;ISL;01.10.1906;E
Inde (République de l');India (Republic of);India (República de la);Inde;India;India;E;IND;01.01.1869;E
Indonésie (République d');Indonesia (Republic of);Indonesia (República de);Indonésie;Indonesia;Indonesia;E;INS;01.01.1949;E
Iran (République islamique d');Iran (Islamic Republic of);Irán (República Islámica del);Iran (République islamique d');Iran (Islamic Republic of);Irán (República Islámica del);E;IRN;01.01.1869;E
Iraq (République d');Iraq (Republic of);Iraq (República del);Iraq;Iraq;Iraq;E;IRQ;12.11.1928;E
Irlande;Ireland;Irlanda;Irlande;Ireland;Irlanda;B;IRL;08.12.1923;E
Israël (Etat d');Israel (State of);Israel (Estado de);Israël;Israel;Israel;E;ISR;24.06.1948;E
Italie;Italy;Italia;Italie;Italy;Italia;B;I;01.01.1866;E
Jamaïque;Jamaica;Jamaica;Jamaïque;Jamaica;Jamaica;A;JMC;18.02.1963;E
Japon;Japan;Japón;Japon;Japan;Japón;E;J;29.01.1879;E
Jordanie (Royaume hachémite de);Jordan (Hashemite Kingdom of);Jordania (Reino Hachemita de);Jordanie;Jordan;Jordania;E;JOR;20.05.1947;E
Kazakhstan (République du);Kazakhstan (Republic of);Kazajstán (República de);Kazakhstan;Kazakhstan;Kazajstán;C;KAZ;23.02.1993;E
Kenya (République du);Kenya (Republic of);Kenya (República de);Kenya;Kenya;Kenya;D;KEN;11.04.1964;E
Kiribati (République de);Kiribati (Republic of);Kiribati (República de);Kiribati;Kiribati;Kiribati;E;KIR;03.11.1986;E
Corée (République de);Korea (Republic of);Corea (República de);Corée (Rép. de);Korea (Rep. of);Corea (Rep. de);E;KOR;31.01.1952;E
Koweït (Etat du);Kuwait (State of);Kuwait (Estado de);Koweït;Kuwait;Kuwait;E;KWT;14.08.1959;E
